#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-12-12T18:52:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5a3024ea9086	
#INFO	-out.max=1000	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/A+A/372/71&tab:{J/A+A/372/71/table4}&key:source=J/A+A/372/71/table4&HTTPPRM:&&-ref=VIZ5a3024ea9086&-oc.form=dec&-order=I&-out=Seq&-out=Xpos&-out=Ypos&-out=Vmag&-out=V-R&-out=e_Vmag&-out=e_Rmag&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=1000&-out.form=; -Separated-Values&
#-source=J/A+A/372/71/table4
#-order=I
#-out=Seq
#-out=Xpos
#-out=Ypos
#-out=Vmag
#-out=V-R
#-out=e_Vmag
#-out=e_Rmag
#

#RESOURCE=yCat_33720071
#Name: J/A+A/372/71
#Title: King 5 and Berkeley 20 UBVRI photometry (Durgapal+, 2001)
#Table	J_A_A_372_71_table4:
#Name: J/A+A/372/71/table4
#Title: Magnitude and colours of the stars in the field of Be 20
#Column	Seq	(I3)	Sequential number in the field	[ucd=meta.id]
#Column	Xpos	(F6.2)	X position (1)	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F6.2)	Y position (1)	[ucd=pos.cartesian.y;instr.det]
#Column	Vmag	(F6.3)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	V-R	(F6.3)	? (V-R) colour index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_Vmag	(F6.3)	? Photometric error in V filter	[ucd=stat.error]
#Column	e_Rmag	(F6.3)	? Photometric error in R filter	[ucd=stat.error]
Seq;Xpos;Ypos;Vmag;V-R;e_Vmag;e_Rmag
 77;143.39;279.39;19.990; 0.432; 0.036; 0.025
 78;144.34;242.45;18.582; 0.348; 0.013; 0.012
 79;147.77;226.42;17.195; 0.544; 0.011; 0.007
 80;148.53;300.37;18.772; 0.384; 0.015; 0.015
 81;150.06; 43.33;21.469; 0.428; 0.089; 0.074
 82;151.11;120.48;20.379; 0.463; 0.037; 0.035
 83;151.36;360.82;19.492; 0.415; 0.019; 0.018
 84;151.97;326.04;17.329; 0.340; 0.023; 0.023
 85;156.10;240.00;19.389; 0.372; 0.020; 0.022
 86;157.78;212.25;18.085; 0.341; 0.007; 0.010
 87;158.24;247.62;18.826; 0.330; 0.015; 0.013
 88;158.94;256.52;19.817; 0.414; 0.028; 0.021
 89;159.18;132.08;21.556; 0.588; 0.084; 0.076
 90;160.96;283.09;18.467; 0.364; 0.012; 0.011
 91;161.11;298.52;19.669; 0.484; 0.026; 0.024
 92;161.67;273.00;19.945; 0.438; 0.028; 0.027
 93;163.07; 90.79;17.034; 0.578; 0.007; 0.012
 94;163.71;391.37;19.452; 0.324; 0.021; 0.018
 95;163.77; 35.82;19.054; 0.357; 0.011; 0.020
 96;164.45;134.28;19.983; 0.404; 0.024; 0.027
 97;165.82;235.79;20.394; 0.411; 0.045; 0.036
 98;166.08;353.28;19.815; 0.456; 0.022; 0.019
 99;166.79;194.58;17.512; 0.562; 0.007; 0.008
100;167.60;293.67;19.457; 0.358; 0.021; 0.017
101;169.39;272.88;21.416; 0.526; 0.076; 0.066
102;172.25;130.20;18.123; 0.428; 0.009; 0.010
103;173.46; 58.54;19.764; 0.407; 0.023; 0.017
104;175.20;279.98;20.146; 0.372; 0.035; 0.031
105;175.38;188.09;18.886; 0.328; 0.014; 0.013
106;175.70;192.78;19.655; 0.413; 0.020; 0.024
107;176.69;214.61;20.192; 0.333; 0.028; 0.031
108;177.43;176.80;16.701; 0.357; 0.009; 0.011
109;178.24;286.11;18.820; 0.324; 0.013; 0.016
110;178.53;227.65;16.539; 0.450; 0.013; 0.011
111;179.20;348.46;19.959; 0.391; 0.025; 0.026
112;180.85;245.59;21.217; 0.417; 0.103; 0.059
113;183.27;276.84;19.412; 0.390; 0.025; 0.057
114;184.68; 75.68;19.621; 0.524; 0.022; 0.020
115;186.55;316.64;18.377; 0.371; 0.010; 0.012
116;186.83;282.59;19.236; 0.436; 0.017; 0.020
117;188.89;311.78;19.304; 0.353; 0.015; 0.030
118;189.27;176.74;17.490; 0.166; 0.009; 0.011
119;190.87;192.78;19.361; 0.370; 0.022; 0.015
120;190.98;349.94;20.862; 0.356; 0.055; 0.049
121;190.99;154.20;18.934; 0.376; 0.012; 0.015
122;191.17;223.17;18.384; 0.350; 0.009; 0.013
123;191.74;159.19;18.692; 0.322; 0.009; 0.016
124;191.94;375.43;20.125; 0.411; 0.031; 0.022
125;192.18;215.80;20.607; 0.490; 0.039; 0.046
126;192.25;120.79;18.778; 0.330; 0.010; 0.015
127;192.34;344.51;19.889; 0.311; 0.026; 0.029
128;194.25;243.35;17.681; 0.174; 0.009; 0.010
129;195.82;180.53;18.617; 0.374; 0.013; 0.013
130;196.06;235.05;15.045; 0.506; 0.007; 0.007
131;197.56;268.83;18.754; 0.955; 0.014; 0.010
132;197.70;186.02;19.806; 0.486; 0.038; 0.053
133;198.00;261.03;18.287; 0.367; 0.007; 0.012
134;198.37;227.06;20.289; 0.448; 0.034; 0.049
135;199.12;215.38;19.361; 0.382; 0.016; 0.020
136;200.28; 47.44;18.645; 0.657; 0.011; 0.014
137;200.62; 77.64;19.083; 0.353; 0.015; 0.018
138;201.55; 33.13;18.407; 0.353; 0.013; 0.013
139;201.68;211.71;16.832; 0.236; 0.019; 0.020
140;202.15;199.21;17.340; 0.560; 0.008; 0.011
141;202.46;465.48;19.947; 0.656; 0.038; 0.023
142;202.58;189.52;17.964; 0.365; 0.011; 0.011
143;203.29;230.49;16.534; 0.438; 0.006; 0.010
144;204.54;161.83;20.673; 0.447; 0.042; 0.036
145;205.11;328.51;16.230; 0.288; 0.010; 0.009
146;207.10;170.58;18.110; 0.370; 0.008; 0.010
147;207.88;278.63;18.682; 0.318; 0.020; 0.011
148;208.20;254.55;19.604; 0.417; 0.021; 0.022
149;209.15;219.09;20.509; 0.489; 0.039; 0.035
150;209.89;155.61;19.875; 0.400; 0.024; 0.024
151;209.97;293.56;21.257; 0.619; 0.076; 0.069
152;211.80;502.96;18.036; 0.535; 0.011; 0.012
153;212.74;242.07;18.223; 0.450; 0.007; 0.013
154;213.35;166.12;18.304; 0.370; 0.012; 0.013
155;214.87;273.84;19.609; 0.364; 0.039; 0.057
156;215.40;301.47;19.487; 0.382; 0.016; 0.023
157;215.51;264.42;16.915; 0.590; 0.015; 0.013
158;215.76;256.54;17.479; 0.574; 0.008; 0.010
159;216.04;200.09;19.064; 0.375; 0.014; 0.015
160;218.45;224.48;16.327; 0.552; 0.021; 0.015
161;218.53;228.41;17.365; 0.138; 0.010; 0.033
162;219.33;262.62;19.811; 0.330; 0.046; 0.039
163;219.36;217.18;18.675; 0.359; 0.016; 0.020
164;219.54;198.43;16.896; 0.386; 0.018; 0.015
165;220.28;303.02;20.387; 0.458; 0.039; 0.033
166;220.41;179.82;21.060; 0.450; 0.057; 0.063
167;220.53;458.64;20.064; 0.339; 0.029; 0.030
168;221.02;237.63;15.028; 0.491; 0.007; 0.010
169;221.15;223.15;19.767; 0.437; 0.051; 0.044
170;222.65;194.01;20.267; 0.330; 0.033; 0.034
171;222.75;435.43;20.221; 0.495; 0.038; 0.029
172;222.98;200.20;19.767; 0.374; 0.023; 0.019
173;223.76;218.65;16.971; 0.281; 0.018; 0.017
174;225.70;205.78;19.135; 0.384; 0.017; 0.015
175;226.59;214.49;16.852; 0.243; 0.011; 0.020
176;226.62; 59.45;18.893; 0.313; 0.027; 0.015
177;227.65;437.71;19.569; 1.008; 0.019; 0.015
178;228.35;195.49;19.333; 0.400; 0.018; 0.016
179;228.64;181.77;19.808; 0.321; 0.024; 0.026
180;228.89;145.91;19.026; 0.334; 0.014; 0.015
181;229.61;236.13;17.631; 0.531; 0.020; 0.028
182;230.05;177.36;20.229; 0.551; 0.038; 0.028
183;230.88; 95.61;13.673; 0.593; 0.004; 0.003
184;231.20;244.60;18.272; 0.421; 0.013; 0.011
185;233.32;252.73;19.644; 0.385; 0.018; 0.019
186;234.09;367.42;19.857; 0.445; 0.033; 0.029
187;235.25;186.60;18.803; 0.368; 0.021; 0.027
188;235.51;211.15;14.796; 0.769; 0.008; 0.006
189;235.96;202.98;18.168; 0.363; 0.010; 0.013
190;236.46;114.82;17.539; 0.479; 0.008; 0.010
191;236.57;165.72;19.085; 0.354; 0.014; 0.013
192;236.58;208.20;16.181; 0.641; 0.008; 0.010
193;237.13;328.48;19.494; 0.748; 0.079; 0.133
194;237.80;318.28;19.819; 0.666; 0.026; 0.026
195;238.09;236.89;19.327; 0.390; 0.023; 0.033
196;238.31;285.89;20.138; 0.478; 0.030; 0.030
197;238.62;467.77;20.159; 0.371; 0.033; 0.035
198;238.76;274.70;19.246; 0.368; 0.015; 0.014
199;238.85;221.68;16.767; 0.536; 0.026; 0.021
200;239.55;474.96;19.300; 0.356; 0.022; 0.016
201;240.24;267.17;16.930; 0.590; 0.007; 0.009
202;240.70;441.44;20.028; 0.414; 0.030; 0.026
203;240.84;315.16;19.157; 0.569; 0.015; 0.014
204;241.41;424.70;19.324; 0.382; 0.023; 0.014
205;242.12;273.88;18.519; 0.380; 0.013; 0.014
206;243.07;227.31;16.349; 0.556; 0.013; 0.019
207;243.09;281.72;17.443; 0.574; 0.009; 0.009
208;244.10;138.49;18.862; 0.372; 0.014; 0.013
209;244.37;201.15;16.904; 0.380; 0.009; 0.014
210;245.96;457.01;18.408; 0.360; 0.018; 0.013
211;246.59;143.95;19.674; 0.431; 0.023; 0.021
212;248.34;263.21;19.620; 0.417; 0.016; 0.020
213;248.67;221.41;16.948; 0.252; 0.006; 0.012
214;249.13;272.65;18.303; 0.379; 0.012; 0.010
215;250.17;238.48;18.845; 0.358; 0.014; 0.015
216;250.20;136.17;20.411; 0.450; 0.030; 0.036
217;250.76; 76.97;21.117; 0.374; 0.058; 0.061
218;250.96;485.53;21.231; 0.477; 0.070; 0.059
219;252.16;130.32;19.724; 0.348; 0.022; 0.022
220;252.32;230.61;21.163; 0.649; 0.081; 0.053
221;252.70; 75.60;16.934; 0.376; 0.014; 0.014
222;253.14;110.42;18.001; 0.280; 0.012; 0.016
223;253.16;321.77;18.424; 0.364; 0.010; 0.011
224;254.12; 41.16;18.204; 0.350; 0.010; 0.015
225;255.46;263.47;20.605; 0.609; 0.049; 0.025
226;255.74;224.69;15.143; 0.716; 0.011; 0.008
227;255.97;232.85;20.315; 0.590; 0.039; 0.028
228;256.08;225.15;18.170; 0.405; 0.008; 0.011
229;257.28;377.19;21.592; 0.605; 0.100; 0.080
230;258.11;242.77;20.287; 0.413; 0.033; 0.029
231;258.80; 47.92;17.715; 0.309; 0.010; 0.011
232;259.22;254.18;18.970; 0.426; 0.013; 0.019
233;259.47;159.59;15.750; 0.614; 0.008; 0.007
234;259.66;281.61;19.118; 0.785; 0.034; 0.012
235;260.94;340.84;20.806; 0.413; 0.049; 0.041
236;262.36;393.58;18.712; 0.411; 0.017; 0.013
237;262.79;491.70;17.426; 0.673; 0.019; 0.013
238;263.98; 93.78;18.999; 0.608; 0.027; 0.031
239;264.70;116.47;18.848; 0.368; 0.012; 0.012
240;265.03;165.48;19.492; 0.363; 0.021; 0.023
241;266.61;183.83;20.221; 0.350; 0.072; 0.077
242;268.06;210.68;20.112; 0.589; 0.046; 0.027
243;268.40;198.37;20.341; 0.475; 0.037; 0.027
244;268.45;125.13;20.059; 0.427; 0.035; 0.031
245;269.20;241.15;18.422; 0.367; 0.009; 0.015
246;270.93;474.40;20.953; 0.660; 0.053; 0.045
247;271.03;248.88;18.380; 0.266; 0.011; 0.014
248;271.52;237.42;18.866; 0.360; 0.026; 0.040
249;271.72;328.76;18.125; 0.383; 0.009; 0.010
250;271.97;295.85;20.567; 0.446; 0.039; 0.042
251;273.74;241.68;19.946; 0.265; 0.075; 0.143
252;275.33;369.88;20.012; 0.420; 0.023; 0.024
253;277.49;167.59;21.194; 0.444; 0.074; 0.065
254;277.68; 78.19;16.918; 0.364; 0.006; 0.007
255;279.55;123.21;21.175; 0.532; 0.071; 0.067
256;280.21;156.20;20.030; 0.431; 0.028; 0.029
257;280.46;227.67;15.152; 0.727; 0.008; 0.011
258;280.89;415.44;18.791; 0.502; 0.015; 0.014
259;281.38;191.31;18.478; 0.351; 0.011; 0.014
260;281.59;176.58;19.860; 0.975; 0.035; 0.026
261;283.05;214.13;18.115; 0.385; 0.009; 0.010
262;283.19; 23.83;19.656; 0.541; 0.021; 0.015
263;284.21;162.35;15.726; 0.599; 0.006; 0.009
264;284.37;104.69;20.372; 0.313; 0.029; 0.079
265;284.59;363.28;19.717; 0.386; 0.022; 0.028
266;285.72;129.33;18.620; 0.734; 0.012; 0.010
267;286.59;296.96;21.161; 0.610; 0.090; 0.051
268;286.72;190.73;20.914; 0.536; 0.044; 0.055
269;287.43; 84.89;21.321; 0.311; 0.076; 0.099
270;287.76;309.65;20.000; 0.405; 0.029; 0.033
271;288.40;411.79;21.108; 0.411; 0.071; 0.073
272;289.74;293.33;20.037; 0.340; 0.029; 0.026
273;289.86;266.58;20.054; 0.330; 0.026; 0.030
274;291.38;196.97;19.502; 0.366; 0.019; 0.021
275;292.31;193.24;18.502; 0.357; 0.013; 0.012
276;293.54;177.25;19.292; 0.509; 0.016; 0.017
277;295.31;439.65;18.768; 0.311; 0.017; 0.013
278;296.90;413.17;20.360; 0.443; 0.032; 0.038
279;297.54;120.00;19.858; 0.381; 0.024; 0.028
280;298.05;308.87;18.499; 0.346; 0.009; 0.010
281;300.79;258.41;18.255; 0.366; 0.010; 0.014
282;300.94;254.52;18.219; 0.390; 0.008; 0.015
283;301.83;138.04;19.905; 0.427; 0.026; 0.026
284;302.18;401.87;18.937; 0.371; 0.017; 0.015
285;302.98;165.24;18.311; 0.339; 0.008; 0.008
286;303.30;174.63;18.942; 0.369; 0.017; 0.015
287;304.58;121.20;15.998; 0.621; 0.009; 0.009
288;304.70;202.27;19.989; 0.304; 0.022; 0.036
289;308.88;231.87;20.186; 0.481; 0.032; 0.023
290;314.74;149.90;20.105; 0.411; 0.026; 0.026
291;316.04;271.23;21.304; 0.545; 0.077; 0.080
292;318.08;101.54;19.431; 0.465; 0.018; 0.024
293;323.96;255.24;20.778; 0.590; 0.052; 0.046
294;324.46; 74.34;17.343; 0.570; 0.010; 0.012
295;324.70;314.57;16.850; 0.421; 0.013; 0.013
296;324.79;279.53;20.308; 0.483; 0.034; 0.028
297;327.08;220.01;18.508; 0.360; 0.010; 0.010
298;327.86; 21.92;19.561; 0.387; 0.021; 0.017
299;329.55;123.79;15.981; 0.616; 0.008; 0.012
300;329.80;114.77;19.684; 0.325; 0.023; 0.019
301;334.05; 71.89;20.460; 0.472; 0.040; 0.041
302;336.97;421.24;21.668; 0.712; 0.100; 0.070
303;340.68;215.77;19.330; 0.474; 0.018; 0.016
304;340.83;406.54;20.242; 0.478; 0.040; 0.034
305;340.84;103.87;20.065; 0.291; 0.032; 0.028
306;341.27; 30.68;20.122; 0.564; 0.038; 0.023
307;342.08;224.51;20.166; 0.435; 0.027; 0.030
308;343.29;248.30;18.391; 0.509; 0.010; 0.010
309;343.71;237.78;20.784; 0.503; 0.050; 0.041
310;344.89;175.63;20.975; 0.449; 0.051; 0.059
311;345.21;155.65;19.845; 0.391; 0.023; 0.024
312;346.08; 72.78;21.434; 0.484; 0.103; 0.064
313;347.02;332.72;19.292; 0.348; 0.014; 0.015
314;347.13;214.04;20.209; 0.458; 0.030; 0.024
315;349.46;317.40;16.815; 0.401; 0.009; 0.010
316;351.55;140.06;20.194; 0.514; 0.030; 0.028
317;351.87;121.94;19.491; 0.338; 0.019; 0.018
318;362.81;252.76;19.539; 0.380; 0.018; 0.020
319;364.68;279.30;19.808; 0.482; 0.019; 0.022
320;365.83;137.94;18.511; 0.358; 0.009; 0.011
321;373.42; 81.26;19.698; 0.349; 0.022; 0.024
322;374.22;128.65;19.616; 0.396; 0.023; 0.024
323;376.42;258.13;19.447; 0.537; 0.021; 0.019
324;377.20;  8.17;18.429; 0.505; 0.009; 0.015
325;379.55;458.91;19.902; 0.480; 0.035; 0.024
326;380.79;275.22;18.517; 0.361; 0.008; 0.012
327;383.21;168.42;17.858; 0.433; 0.008; 0.010
328;385.97;363.96;20.510; 0.525; 0.036; 0.034
329;387.94;238.30;18.201; 0.428; 0.010; 0.010
330;389.23;466.13;19.875; 0.498; 0.029; 0.030
331;392.91;433.58;20.025; 0.416; 0.027; 0.080
332;395.54;446.43;16.947; 0.462; 0.014; 0.021
333;395.98;224.94;18.407; 0.361; 0.009; 0.013
334;402.70;265.75;19.650; 0.387; 0.025; 0.021
335;411.03; 61.67;19.810; 0.396; 0.025; 0.023
336;413.30;162.21;18.787; 0.305; 0.012; 0.017
337;414.70;171.35;20.014; 0.377; 0.029; 0.030
338;415.55;369.06;19.273; 0.351; 0.020; 0.023
339;419.19; 12.02;19.915; 0.497; 0.026; 0.022
340;420.14;449.24;16.915; 0.397; 0.018; 0.011
341;422.43;131.85;13.516; 0.360; 0.003; 0.004
342;426.37; 14.78;17.602; 0.545; 0.011; 0.011
343;427.12;113.25;19.847; 0.388; 0.028; 0.023
344;427.74;258.17;19.260; 0.402; 0.017; 0.019
345;430.02; 93.70;18.739; 0.533; 0.012; 0.014
346;431.44;322.70;18.064; 0.406; 0.012; 0.010
347;437.18;146.43;19.263; 0.368; 0.018; 0.020
348;437.41;341.46;19.551; 0.400; 0.020; 0.022
349;442.51;325.23;19.972; 0.562; 0.030; 0.017
350;448.32;225.32;20.415; 0.371; 0.034; 0.030
351;453.92;311.18;21.178; 0.409; 0.070; 0.117
352;454.01;450.82;21.567; 0.468; 0.114; 0.098
353;456.40;367.56;21.373; 0.342; 0.080; 0.128
354;462.38; 55.53;20.917; 0.487; 0.057; 0.052
355;466.27;150.33;18.809; 0.342; 0.014; 0.012
356;466.43;381.10;19.867; 0.369; 0.030; 0.025
357;475.73;264.51;16.624; 0.482; 0.013; 0.012
358;478.56;105.50;18.548; 0.340; 0.011; 0.014
359;482.69;287.43;17.710; 1.001; 0.020; 0.013
360;483.23;136.57;21.033; 0.422; 0.065; 0.052
361;487.95; 76.56;18.630; 0.884; 0.019; 0.011
362;492.33;349.58;19.424; 0.315; 0.023; 0.015
363;493.30; 19.46;19.175; 0.664; 0.018; 0.016
364;497.61; 70.08;19.509; 0.411; 0.108; 0.172
365;500.62;267.17;16.589; 0.440; 0.007; 0.008

